SAINC50 Personal Current Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,United States *,10,Personal income (thousands of dollars),1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8001563000,8650325000,9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14982715000,15717140000,16151881000,16937582000,17839255000,18542262000
0,United States *,15,  Less: Personal current taxes,172216000,197364000,229096000,268256000,298764000,344881000,353771000,351959000,376973000,416768000,436735000,488401000,504780000,566488000,593309000,587466000,611744000,647796000,692201000,747570000,836200000,930882000,1031430000,1110884000,1235250000,1237927000,1051183000,1002446000,1047624000,1211185000,1355468000,1490831000,1505811000,1150907000,1236004000,1451655000,1507470000,1674228000,1782338000,1937443000,1955616000,2043573000,2082114000,2199985000
0,United States *,16,Equals: Disposable personal income,1323488000,1454268000,1626753000,1805001000,2014396000,2248034000,2426023000,2616717000,2902515000,3093703000,3282912000,3458192000,3763033000,4043179000,4304512000,4479825000,4798176000,5000936000,5247927000,5538573000,5836986000,6156053000,6570164000,6890679000,7415075000,7763912000,8104480000,8478455000,8981157000,9382761000,10017121000,10511373000,10932716000,10900400000,11305991000,11863823000,12490913000,12501275000,13200377000,13779697000,14196265000,14894009000,15757141000,16342277000
0,United States *,20,Population (persons) 1/,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
0,United States *,30,Per capita personal income (dollars) 2/,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40547,42739,44605,44860,47071,49019,50015,52118,54606,56490
0,United States *,50,Per capita disposable personal income (dollars) 3/,6083,6618,7324,8038,8865,9797,10472,11192,12308,13003,13671,14273,15391,16381,17244,17708,18705,19240,19945,20800,21667,22579,23818,24694,26279,27245,28177,29225,30673,31750,33572,34895,35952,35533,36551,38079,39801,39562,41471,42976,43959,45830,48233,49788
0,United States *,60,Personal current taxes,172216000,197364000,229096000,268256000,298764000,344881000,353771000,351959000,376973000,416768000,436735000,488401000,504780000,566488000,593309000,587466000,611744000,647796000,692201000,747570000,836200000,930882000,1031430000,1110884000,1235250000,1237927000,1051183000,1002446000,1047624000,1211185000,1355468000,1490831000,1505811000,1150907000,1236004000,1451655000,1507470000,1674228000,1782338000,1937443000,1955616000,2043573000,2082114000,2199985000
0,United States *,,Personal current taxes to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,United States *,70,  Federal government 4/,141142000,161998000,188646000,224224000,249873000,290266000,294624000,285854000,300950000,335408000,349530000,391801000,402686000,451849000,470750000,462155000,476439000,506729000,544211000,589461000,667527000,748884000,830209000,896398000,998540000,994908000,831337000,777539000,801899000,935945000,1054353000,1169243000,1174942000,865081000,941954000,1128726000,1164342000,1300708000,1401487000,1530074000,1545683000,1611495000,1614335000,1710127000
1000,Alabama,10,Personal income (thousands of dollars),20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99953288,103453058,108355099,112154930,115191809,120211076,128739879,136327338,145175833,152327005,157366824,155145273,161516561,167942757,172804075,174415420,180457683,188711443,192281933,199999756,208752683,216449038
1000,Alabama,15,  Less: Personal current taxes,2025592,2256921,2611155,3033877,3414456,3859052,3755619,4019615,4252210,4833877,5105419,5662435,5700205,6483954,6829968,6986569,7317798,7733112,8445364,9110235,9814033,10612417,11224497,11730462,12163118,12519154,11101169,10672170,10978927,12881442,14711087,15738340,15953250,12435908,13206758,15046831,14827642,16122198,16515927,17958460,18701899,18810721,19159726,20345336
1000,Alabama,16,Equals: Disposable personal income,18298464,20137972,22728767,25117534,27622667,30606460,32640475,34950887,38617974,41264855,43684895,45989516,49858626,53911756,57409802,60943371,65721979,68664933,72403082,76363365,79535966,83368962,88728791,91722596,96191981,99635776,104090640,109538906,117760952,123445896,130464746,136588665,141413574,142709365,148309803,152895926,157976433,158293222,163941756,170752983,173580034,181189035,189592957,196103702
1000,Alabama,20,Population (persons) 1/,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
1000,Alabama,30,Per capita personal income (dollars) 2/,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34995,35884,36110,37271,38891,39536,41030,42710,44145
1000,Alabama,50,Per capita disposable personal income (dollars) 3/,4896,5324,5928,6491,7082,7811,8315,8884,9772,10388,10944,11454,12391,13377,14175,14867,15821,16294,16995,17772,18364,19087,20144,20704,21606,22302,23234,24323,25992,27013,28184,29230,29972,29994,30992,31859,32805,32772,33860,35190,35690,37171,38790,39995
1000,Alabama,60,Personal current taxes,2025592,2256921,2611155,3033877,3414456,3859052,3755619,4019615,4252210,4833877,5105419,5662435,5700205,6483954,6829968,6986569,7317798,7733112,8445364,9110235,9814033,10612417,11224497,11730462,12163118,12519154,11101169,10672170,10978927,12881442,14711087,15738340,15953250,12435908,13206758,15046831,14827642,16122198,16515927,17958460,18701899,18810721,19159726,20345336
1000,Alabama,,Personal current taxes to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Alabama,70,  Federal government 4/,1708832,1895725,2187618,2563710,2906076,3208589,3145682,3335948,3486324,3951165,4068770,4491039,4544587,5178502,5445560,5565219,5800972,6148684,6763737,7273671,7881580,8558198,9029800,9349893,9701986,10062049,8671437,8216997,8335490,9879999,11401388,12239683,12462577,9244089,10161952,11731967,11353490,12389813,12820194,14032671,14656583,14644869,14644231,15482032
2000,Alaska *,10,Personal income (thousands of dollars),4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18114454,18675678,20078665,21240393,22246533,23239634,24338346,25956877,27726673,29838859,32825068,32896441,35293829,37827809,39169240,38859491,41110392,42505840,41745626,42454376,44369579,45945102
2000,Alaska *,15,  Less: Personal current taxes,726169,736096,677076,778244,778445,1022823,1119174,1126521,1093392,1138427,1017637,1070857,1050244,1313992,1473684,1426375,1455867,1511273,1601376,1628305,1713473,1844364,1968348,1987553,2159143,2318430,2038513,1921801,1885667,2151650,2419870,2789166,3167563,2464549,2670454,3081382,3051794,3376660,3562194,3840191,3579983,3394729,3396494,3561991
2000,Alaska *,16,Equals: Disposable personal income,4167124,4345781,4558809,4768556,5506602,6129464,7614197,8386934,9027226,9827366,10047940,9547283,10017331,10796512,11369653,11978698,12814810,13496031,13911764,14327530,14689539,15432260,16146106,16688125,17919522,18921963,20208020,21317833,22452679,23805227,25306803,27049693,29657505,30431892,32623375,34746427,36117446,35482831,37548198,38665649,38165643,39059647,40973085,42383111
